Base imponibe,,,
Periodo,Base impo,Contrib ,aporte
nov-08,"1.719,00","25,79","17,19"
dic-08,"2.044,00","30,66","20,44"
ene-09,"1.752,00","26,28","17,52"
feb-09,"1.752,00","26,28","17,52"
mar-09,"1.752,00","26,28","17,52"
abr-09,"1.752,00","26,28","17,52"
may-09,"1.752,00","26,28","17,52"
jun-09,"2.628,00","39,42","26,28"
jul-09,"2.202,00","33,03","22,02"
ago-09,"2.052,00","30,78","20,52"
sept-09,"2.132,00","31,98","21,32"
oct-09,"2.132,00","31,98","21,32"
nov-09,"2.203,07","33,05","22,03"
dic-09,"3.580,50","53,71","35,81"
ene-10,"2.429,60","36,44","24,30"
feb-10,"2.429,60","36,44","24,30"
mar-10,"2.429,60","36,44","24,30"
abr-10,"2.656,37","39,85","26,56"
may-10,"2.429,60","36,44","24,30"
jun-10,"4.185,35","62,78","41,85"
jul-10,"2.864,54","42,97","28,65"
ago-10,"3.094,67","46,42","30,95"
sept-10,"3.094,67","46,42","30,95"
oct-10,"3.197,83","47,97","31,98"
nov-10,"3.094,67","46,42","30,95"
dic-10,"4.642,01","69,63","46,42"
ene-11,"2.806,67","42,10","28,07"
feb-11,"3.257,63","48,86","32,58"
mar-11,"3.825,61","57,38","38,26"
abr-11,"3.499,03","52,49","34,99"
may-11,"3.743,76","56,16","37,44"
jun-11,"5.615,64","84,23","56,16"
jul-11,"3.743,76","56,16","37,44"
ago-11,"4.005,31","60,08","40,05"
sept-11,"4.005,31","60,08","40,05"
oct-11,"4.305,84","64,59","43,06"
nov-11,"4.380,08","65,70","43,80"
dic-11,"6.570,12","98,55","65,70"
ene-12,"4.380,08","65,70","43,80"
feb-12,"4.380,08","65,70","43,80"
mar-12,"4.508,08","67,62","45,08"
abr-12,"4.928,83","73,93","49,29"
may-12,"5.608,36","84,13","56,08"
jun-12,"7.944,87","119,17","79,45"
jul-12,"5.296,58","79,45","52,97"
ago-12,"5.296,58","79,45","52,97"
sept-12,"5.296,58","79,45","52,97"
oct-12,"5.473,13","82,10","54,73"
nov-12,"5.384,18","80,76","53,84"
dic-12,"8.076,27","121,14","80,76"
ene-13,"5.384,18","80,76","53,84"
feb-13,"5.886,70","88,30","58,87"
mar-13,"5.384,13","80,76","53,84"
abr-13,"5.998,31","89,97","59,98"
may-13,"6.576,44","98,65","65,76"
jun-13,"8.997,47","134,96","89,97"
jul-13,"5.998,31","89,97","59,98"
ago-13,"5.998,31","89,97","59,98"
sept-13,"5.998,31","89,97","59,98"
oct-13,"6.633,37","99,50","66,33"
nov-13,"6.419,39","96,29","64,19"
dic-13,"10.186,41","152,80","101,86"
ene-14,"6.806,94","102,10","68,07"
feb-14,"6.806,94","102,10","68,07"
mar-14,"7.319,26","109,79","73,19"
abr-14,"8.295,16","124,43","82,95"
may-14,"7.319,75","109,80","73,20"
jun-14,"11.728,89","175,93","117,29"
jul-14,"8.219,26","123,29","82,19"
ago-14,"9.319,26","139,79","93,19"
sept-14,"9.032,45","135,49","90,32"
oct-14,"9.465,41","141,98","94,65"
nov-14,"9.617,11","144,26","96,17"
dic-14,"14.425,67","216,39","144,26"
ene-15,"9.617,11","144,26","96,17"
feb-15,"9.617,11","144,26","96,17"
mar-15,"10.899,39","163,49","108,99"
abr-15,"10.817,11","162,26","108,17"
may-15,"10.817,11","162,26","108,17"
jun-15,"17.379,40","260,69","173,79"
jul-15,"11.586,60","173,80","115,87"
ago-15,"12.377,60","185,66","123,78"
sept-15,"12.377,60","185,66","123,78"
oct-15,"12.790,00","191,85","127,90"
nov-15,"12.377,60","185,66","123,78"
dic-15,"22.216,50","333,25","222,17"
ene-16,"12.668,40","190,03","126,68"
feb-16,"12.668,40","190,03","126,68"
mar-16,"14.357,52","215,36","143,58"
abr-16,"12.702,40","190,54","127,02"
may-16,"15.769,70","236,55","157,70"
jun-16,"23.654,55","354,82","236,55"
jul-16,"15.769,70","236,55","157,70"
ago-16,"15.769,70","236,55","157,70"
sept-16,"15.769,70","236,55","157,70"
oct-16,"15.769,70","236,55","157,70"
nov-16,"16.013,20","240,20","160,13"
dic-16,"29.824,25","447,36","298,24"
ene-17,"17.883,50","268,25","178,84"
feb-17,"17.955,50","269,33","179,56"
mar-17,"20.349,57","305,24","203,50"
abr-17,"17.955,55","269,33","179,56"
may-17,"17.955,55","269,33","179,56"
jun-17,"29.552,10","443,28","295,52"
jul-17,"19.701,40","295,52","197,01"
ago-17,"21.621,10","324,32","216,21"
sept-17,"21.621,10","324,32","216,21"
oct-17,"22.341,80","335,13","223,42"
nov-17,"21.621,10","324,32","216,21"
dic-17,"36.556,25","548,34","365,56"
ene-18,"21.951,10","329,27","219,51"
feb-18,"22.882,70","343,24","228,83"
mar-18,"25.933,73","389,01","259,34"
abr-18,"24.663,80","369,96","246,64"
may-18,"24.663,88","369,96","246,64"
jun-18,"36.995,78","554,94","369,96"
jul-18,"24.664,00","369,96","246,64"
